parameter_set_id,manifest_id,boarding_policy,load_factor,luggage_probability,cross_zone_violation_rate,stow_dist,stow_shape_k,stow_scale_lambda_s,shuffle_model,shuffle_low_s,shuffle_mode_s,shuffle_high_s,total_ticks,total_seconds,avg_boarding_seconds,avg_wait_seconds,luggage_passengers,avg_assigned_stow_seconds,row_conflict_count,seat_shuffle_starts,seat_shuffle_finishes,boarding_completion_success
P01_wb_k1.7_l14_tri_15_20.0_26,24,std,0.85,0.75,0.05,weibull,1.7,14.0,triangular,15.0,20.0,26.0,1587,793.5,107.98185483870968,88.04435483870968,181,11.861878453038674,2795,69,68,True
P01_wb_k1.7_l14_tri_15_20.0_26,25,std,0.85,0.75,0.05,weibull,1.7,14.0,triangular,15.0,20.0,26.0,1547,773.5,99.89516129032258,80.13709677419355,193,12.046632124352332,2447,60,60,True
P01_wb_k1.7_l14_tri_15_20.0_26,26,std,0.85,0.75,0.05,weibull,1.7,14.0,triangular,15.0,20.0,26.0,1586,793.0,118.41935483870968,98.78024193548387,186,12.489247311827956,2813,67,67,True
P01_wb_k1.7_l14_tri_15_20.0_26,27,std,0.85,0.75,0.05,weibull,1.7,14.0,triangular,15.0,20.0,26.0,1599,799.5,105.50806451612904,85.94354838709677,185,12.286486486486487,2810,68,67,True
P01_wb_k1.7_l14_tri_15_20.0_26,28,std,0.85,0.75,0.05,weibull,1.7,14.0,triangular,15.0,20.0,26.0,1494,747.0,109.02822580645162,89.13911290322581,174,13.114942528735632,2194,53,53,True
P01_wb_k1.7_l14_tri_15_20.0_26,29,std,0.85,0.75,0.05,weibull,1.7,14.0,triangular,15.0,20.0,26.0,1337,668.5,79.99193548387096,60.65524193548387,177,12.333333333333334,2530,60,60,True
P01_wb_k1.7_l14_tri_15_20.0_26,30,std,0.85,0.75,0.05,weibull,1.7,14.0,triangular,15.0,20.0,26.0,1388,694.0,94.4274193548387,74.61088709677419,188,11.96808510638298,2260,55,55,True
P02_wb_k1.7_l14_tri_15_20.5_26,1,std,0.85,0.75,0.05,weibull,1.7,14.0,triangular,15.0,20.5,26.0,1449,724.5,99.85887096774194,80.01411290322581,186,12.387096774193548,2431,58,58,True
P02_wb_k1.7_l14_tri_15_20.5_26,2,std,0.85,0.75,0.05,weibull,1.7,14.0,triangular,15.0,20.5,26.0,1446,723.0,102.52822580645162,82.60282258064517,192,13.161458333333334,2293,57,56,True
P02_wb_k1.7_l14_tri_15_20.5_26,3,std,0.85,0.75,0.05,weibull,1.7,14.0,triangular,15.0,20.5,26.0,1567,783.5,98.66532258064517,78.6633064516129,185,11.827027027027027,2277,56,56,True
