manifest_id,std_ticks,std_seconds,pyramid_ticks,pyramid_seconds
1,2242,1793.6000000000001,1045,836.0
2,2076,1660.8000000000002,1248,998.4000000000001
3,2030,1624.0,1062,849.6
4,2245,1796.0,1047,837.6
5,2081,1664.8000000000002,1158,926.4000000000001
6,2108,1686.4,1164,931.2
7,2322,1857.6000000000001,1327,1061.6000000000001
8,1809,1447.2,1057,845.6
9,2154,1723.2,920,736.0
10,2399,1919.2,1082,865.6
