replication_id,scenario_seed,pair_completed,completed_pairs_so_far,total_seconds_a,total_seconds_b,difference,error_a,error_b
131,20260543,True,131,732.5,473.5,259.0,,
132,20260544,True,132,768.0,602.5,165.5,,
133,20260545,True,133,799.5,475.5,324.0,,
134,20260546,True,134,802.5,587.5,215.0,,
135,20260547,True,135,906.5,618.0,288.5,,
136,20260548,True,136,808.0,496.0,312.0,,
137,20260549,True,137,816.0,475.5,340.5,,
138,20260550,True,138,778.0,573.0,205.0,,
139,20260551,True,139,835.5,559.5,276.0,,
140,20260552,True,140,738.5,459.5,279.0,,
141,20260553,True,141,818.0,537.0,281.0,,
142,20260554,True,142,891.0,620.0,271.0,,
143,20260555,True,143,836.0,576.0,260.0,,
144,20260556,True,144,716.5,558.5,158.0,,
145,20260557,True,145,845.0,498.5,346.5,,
146,20260558,True,146,862.5,528.0,334.5,,
147,20260559,True,147,897.0,560.0,337.0,,
148,20260560,True,148,768.0,551.5,216.5,,
149,20260561,True,149,709.5,530.0,179.5,,
150,20260562,True,150,889.5,612.5,277.0,,
151,20260563,True,151,734.5,513.0,221.5,,
152,20260564,True,152,779.5,583.5,196.0,,
153,20260565,True,153,794.5,569.0,225.5,,
154,20260566,True,154,835.5,492.5,343.0,,
155,20260567,True,155,733.0,477.0,256.0,,
156,20260568,True,156,840.5,526.5,314.0,,
157,20260569,True,157,845.0,526.0,319.0,,
158,20260570,True,158,820.0,560.5,259.5,,
159,20260571,True,159,873.5,650.5,223.0,,
160,20260572,True,160,751.5,566.0,185.5,,
161,20260573,True,161,860.5,512.5,348.0,,
162,20260574,True,162,761.0,454.5,306.5,,
163,20260575,True,163,810.0,495.5,314.5,,
164,20260576,True,164,775.5,527.5,248.0,,
165,20260577,True,165,813.0,535.5,277.5,,
166,20260578,True,166,866.5,543.5,323.0,,
167,20260579,True,167,738.5,495.5,243.0,,
168,20260580,True,168,681.5,472.5,209.0,,
169,20260581,True,169,755.0,548.5,206.5,,
170,20260582,True,170,714.5,525.0,189.5,,
171,20260583,True,171,890.0,575.5,314.5,,
