strategy,n_completed,mean,std,median,min,q10,q25,q75,q90,max
pyramid,158,509.29430379746833,41.653259701729596,507.75,420.5,452.4,479.0,535.5,566.1,626.0
std,158,738.4746835443038,60.8785414347622,735.75,582.5,662.85,695.625,774.75,817.75,933.0
