replication_id,scenario_seed,boarding_time_zonal,boarding_time_pyramid,difference,ratio,relative_improvement,pair_completed,zonal_error,pyramid_error
1,20260413,731.0,471.0,260.0,0.6443228454172366,0.35567715458276333,True,,
2,20260414,673.0,487.5,185.5,0.7243684992570579,0.27563150074294207,True,,
3,20260415,848.0,478.0,370.0,0.5636792452830188,0.4363207547169811,True,,
4,20260416,786.0,465.5,320.5,0.5922391857506362,0.4077608142493639,True,,
5,20260417,817.0,593.5,223.5,0.726438188494492,0.27356181150550796,True,,
6,20260418,853.5,541.5,312.0,0.6344463971880492,0.3655536028119508,True,,
7,20260419,783.5,457.5,326.0,0.583918315252074,0.41608168474792595,True,,
8,20260420,747.0,516.0,231.0,0.6907630522088354,0.3092369477911647,True,,
9,20260421,724.5,526.0,198.5,0.7260179434092477,0.27398205659075225,True,,
10,20260422,699.0,506.0,193.0,0.7238912732474965,0.2761087267525036,True,,
11,20260423,622.0,518.5,103.5,0.8336012861736335,0.16639871382636656,True,,
12,20260424,796.0,521.0,275.0,0.6545226130653267,0.3454773869346734,True,,
13,20260425,740.0,551.0,189.0,0.7445945945945946,0.2554054054054054,True,,
14,20260426,824.5,476.5,348.0,0.5779260157671315,0.4220739842328684,True,,
15,20260427,693.0,446.5,246.5,0.6443001443001443,0.3556998556998557,True,,
16,20260428,660.0,460.5,199.5,0.6977272727272728,0.30227272727272725,True,,
17,20260429,715.5,490.5,225.0,0.6855345911949685,0.31446540880503143,True,,
18,20260430,674.5,466.0,208.5,0.6908821349147517,0.30911786508524836,True,,
19,20260431,753.0,496.0,257.0,0.6586985391766268,0.34130146082337315,True,,
20,20260432,827.5,594.5,233.0,0.718429003021148,0.28157099697885196,True,,
21,20260433,784.0,503.5,280.5,0.642219387755102,0.35778061224489793,True,,
22,20260434,753.0,503.0,250.0,0.6679946879150066,0.33200531208499334,True,,
23,20260435,794.0,525.5,268.5,0.6618387909319899,0.33816120906801006,True,,
24,20260436,695.0,456.0,239.0,0.6561151079136691,0.34388489208633094,True,,
25,20260437,901.5,585.5,316.0,0.6494731003882418,0.3505268996117582,True,,
26,20260438,638.5,467.5,171.0,0.7321848081440877,0.2678151918559123,True,,
27,20260439,619.5,496.5,123.0,0.801452784503632,0.19854721549636803,True,,
28,20260440,695.0,483.5,211.5,0.6956834532374101,0.3043165467625899,True,,
29,20260441,789.0,441.5,347.5,0.5595690747782003,0.4404309252217998,True,,
30,20260442,672.0,487.5,184.5,0.7254464285714286,0.27455357142857145,True,,
31,20260443,907.5,599.5,308.0,0.6606060606060606,0.3393939393939394,True,,
32,20260444,660.5,519.5,141.0,0.7865253595760787,0.21347464042392128,True,,
33,20260445,701.5,535.5,166.0,0.7633642195295794,0.23663578047042053,True,,
