replication_id,n_completed_pairs,sample_mean_diff,sample_sd_diff,standard_error,t_critical,ci_half_width,ci_low,ci_high,cv,pair_completed,difference,error_a,error_b,stop_flag
26,26,281.09615384615387,84.84857326210845,16.64017426015377,2.0595385527532977,34.27108041331977,246.8250734328341,315.36723425947366,0.3018489299876609,True,95.0,,,False
27,27,281.6111111111111,83.24388789451676,16.020293694763428,2.0555294386428735,32.93018530529103,248.68092580582004,314.54129641640213,0.29559873389254326,True,295.0,,,False
28,28,284.14285714285717,82.77902949943135,15.643766130483922,2.0518305164802846,32.09835673920761,252.04450040364955,316.24121388206476,0.29132891226546975,True,352.5,,,False
29,29,284.0344827586207,81.28948832001619,15.095079023824916,2.048407141795245,30.92086767836655,253.11361508025414,314.95535043698726,0.28619584330223014,True,281.0,,,False
30,30,282.4,80.37577693087253,14.674542034014078,2.045229642132704,30.012808352687934,252.38719164731205,312.41280835268793,0.2846167738345345,True,235.0,,,False
31,31,282.14516129032256,79.03756422828188,14.195565594681188,2.0422724563012378,28.99121261563489,253.15394867468768,311.13637390595744,0.28013085132072696,True,274.5,,,False
32,32,282.015625,77.7557677950853,13.745407671067845,2.039513446396408,28.033943771343207,253.98168122865678,310.0495687713432,0.2757143963036988,True,278.0,,,False
33,33,275.09090909090907,86.25212447976413,15.014567650636405,2.0369333434601016,30.583673485218693,244.50723560569037,305.67458257612776,0.313540439285329,True,53.5,,,False
34,34,273.4264705882353,85.48791624276154,14.661056682414904,2.0345152974493383,29.828144097144968,243.59832649109035,303.25461468538026,0.3126541335184093,True,218.5,,,False
35,35,272.2857142857143,84.49132271094695,14.28164017535939,2.0322445093177186,29.023784830425463,243.26192945528882,301.30949911613976,0.3103039134190077,True,233.5,,,False
36,36,271.3888888888889,83.44922417777781,13.908204029629635,2.0301079282503425,28.235155268274482,243.15373362061445,299.6240441571634,0.3074894647287616,True,240.0,,,False
37,37,267.7567567567568,85.19655555289825,14.006227454801087,2.0280940009804502,28.405945877449764,239.350810879307,296.16270263420654,0.31818638896308016,True,137.0,,,False
38,38,268.9342105263158,84.35023278557983,13.6834146351874,2.0261924630291093,27.72523160231892,241.20897892399685,296.6594421286347,0.31364634726278523,True,312.5,,,False
39,39,267.7564102564103,83.55732918457147,13.379880859209356,2.0243941639119694,27.086152725220888,240.67025753118938,294.84256298163115,0.31206471996153096,True,223.0,,,False
40,40,267.7125,82.47959246429944,13.041168633482316,2.022690920036761,26.378253381612893,241.33424661838708,294.0907533816129,0.3080901805642226,True,266.0,,,False
41,41,264.219512195122,84.45738931411566,13.190028208476,2.021075390306273,26.658041409596382,237.5614707855256,290.87755360471834,0.3196485702832772,True,124.5,,,False
42,42,263.70238095238096,83.48835609801462,12.8825330287517,2.019540970441376,26.016803254628286,237.68557769775268,289.7191842070092,0.31660069126600277,True,242.5,,,False
43,43,263.5581395348837,82.49388211820587,12.580199084212818,2.0180817028184443,25.38786958966324,238.17026994522047,288.94600912454695,0.3130006998220112,True,257.5,,,False
44,44,262.6363636363636,81.75796409797697,12.32547684256078,2.016692199227824,24.856693000155516,237.7796706362081,287.49305663651916,0.3112971980192962,True,223.0,,,False
45,45,262.34444444444443,80.8472762108104,12.052000360204913,2.0153675744437636,24.28921073314154,238.0552337113029,286.633655177586,0.308172244249415,True,249.5,,,False
46,46,261.10869565217394,80.38206772405275,11.851689305009756,2.014103388880846,23.87052759318303,237.2381680589909,284.979223245357,0.3078490646329553,True,205.5,,,False
