replication_id,scenario_seed,strategy,total_boarding_time,load_factor,luggage_probability,cross_zone_violation_rate,passenger_count,completed,error_message
52,20260464,std,866.5,0.85,0.75,0.05,248,True,
52,20260464,pyramid,552.5,0.85,0.75,0.05,248,True,
53,20260465,std,874.5,0.85,0.75,0.05,248,True,
53,20260465,pyramid,546.0,0.85,0.75,0.05,248,True,
54,20260466,std,760.0,0.85,0.75,0.05,248,True,
54,20260466,pyramid,584.5,0.85,0.75,0.05,248,True,
55,20260467,std,716.5,0.85,0.75,0.05,248,True,
55,20260467,pyramid,524.5,0.85,0.75,0.05,248,True,
56,20260468,std,800.0,0.85,0.75,0.05,248,True,
56,20260468,pyramid,589.0,0.85,0.75,0.05,248,True,
57,20260469,std,823.0,0.85,0.75,0.05,248,True,
57,20260469,pyramid,615.0,0.85,0.75,0.05,248,True,
58,20260470,std,739.5,0.85,0.75,0.05,248,True,
58,20260470,pyramid,509.0,0.85,0.75,0.05,248,True,
59,20260471,std,682.5,0.85,0.75,0.05,248,True,
59,20260471,pyramid,611.0,0.85,0.75,0.05,248,True,
60,20260472,std,743.5,0.85,0.75,0.05,248,True,
60,20260472,pyramid,626.5,0.85,0.75,0.05,248,True,
61,20260473,std,841.0,0.85,0.75,0.05,248,True,
61,20260473,pyramid,538.5,0.85,0.75,0.05,248,True,
62,20260474,std,980.0,0.85,0.75,0.05,248,True,
62,20260474,pyramid,582.0,0.85,0.75,0.05,248,True,
63,20260475,std,782.5,0.85,0.75,0.05,248,True,
63,20260475,pyramid,478.0,0.85,0.75,0.05,248,True,
64,20260476,std,828.0,0.85,0.75,0.05,248,True,
64,20260476,pyramid,539.5,0.85,0.75,0.05,248,True,
65,20260477,std,751.0,0.85,0.75,0.05,248,True,
65,20260477,pyramid,488.5,0.85,0.75,0.05,248,True,
66,20260478,std,910.0,0.85,0.75,0.05,248,True,
66,20260478,pyramid,500.0,0.85,0.75,0.05,248,True,
67,20260479,std,657.0,0.85,0.75,0.05,248,True,
67,20260479,pyramid,515.0,0.85,0.75,0.05,248,True,
68,20260480,std,712.5,0.85,0.75,0.05,248,True,
